,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,advanced-only-f1_score,fourier-only-f1_score,baseline-and-advanced-f1_score,baseline-and-fourier-f1_score,advanced-and-fourier-f1_score,advanced-f1_score,fourier-f1_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
33,False,False,True,False,False,False,True,False,0.2658022690437601,0.4115023144901108,0.5967287811378339,0.4309941838343208,0.6225959055508501,0.6428523736395807,0.4309941838343208,0.6479293232748069,98456,196912,0.5,0.6479293232748069,0.16519191479056072,0.3821270542310468,0.73419773095624,0.2169351394404861,52.04688575288208
42,False,False,False,True,False,False,True,False,0.5878476279504556,0.9252918592807334,0.7923213784062179,0.9259991001740967,0.8148243849319873,0.9196765075376885,0.9259991001740967,0.920260565867441,98456,196912,0.5,0.9259991001740967,0.33815147222364106,0.33241293791698534,0.41215237204954436,-0.005738534306655718,80.65292364179972
43,False,False,False,True,False,False,False,True,0.06669837118059684,0.2945713290540877,0.0,0.36038369304556356,0.10799236066902021,0.33585858585858586,0.36038369304556356,0.3737932327303402,63250,126500,0.5,0.3737932327303402,0.2936853218649667,0.30709486154974336,0.9333016288194032,0.01340953968477665,32.90413860503046
31,False,False,True,False,False,True,False,True,0.039744847890088315,0.25363693864642634,0.0,0.2575566750629723,0.09916567342073898,0.32920456744726145,0.2575566750629723,0.3359721954045182,31625,126500,0.25,0.3359721954045182,0.217811827172884,0.2962273475144299,0.9602551521099116,0.07841552034154592,30.848816261339202
34,False,False,True,False,False,False,False,True,0.15801781737193762,0.33597843988621057,0.0,0.34869386557088344,0.2599060834696354,0.42600489973686606,0.34869386557088344,0.4366612989801396,63250,126500,0.5,0.4366612989801396,0.19067604819894582,0.27864348160820196,0.8419821826280623,0.08796743340925617,33.093750361614255
6,False,True,True,False,False,False,True,False,0.6811524028567969,0.8150227553060269,0.9240724933997657,0.8144765335220086,0.9320369084234547,0.9459491850431448,0.8144765335220086,0.9503722084367247,98456,98456,1.0,0.9503722084367247,0.13332413066521165,0.26921980557992775,0.3188475971432031,0.1358956749147161,84.4352624865521
8,False,True,True,False,False,False,False,False,0.6388654609065068,0.767833475173347,0.7902817570953194,0.7746279137007616,0.8031211541986332,0.8607426363066638,0.7746279137007616,0.8666300768386388,161706,161706,1.0,0.8666300768386388,0.1357624527942548,0.22776461593213204,0.36113453909349325,0.09200216313787724,63.06918648763381
44,False,False,False,True,False,False,False,False,0.4975292954962587,0.6957805907172996,0.5193636862314865,0.7048580030921964,0.6165632716978859,0.7026239741070396,0.7048580030921964,0.7104914443740278,161706,323412,0.5,0.7104914443740278,0.2073287075959377,0.2129621488777691,0.5024707045037413,0.005633441281831408,42.38299804723907
18,False,True,False,False,True,False,True,False,0.7745569107837441,0.8261086397095493,0.9302407309787383,0.8233742355809585,0.9316588214613566,0.9467895715472563,0.8233742355809585,0.9507475987721558,98456,98456,1.0,0.9507475987721558,0.048817324797214345,0.17619068798841164,0.2254430892162559,0.1273733631911973,78.15306674555059
45,False,False,False,False,True,False,True,False,0.7753378676795336,0.8270549667142657,0.8798449612403101,0.8246177462683553,0.9277940684470509,0.9452563488260661,0.8246177462683553,0.9490584499870199,98456,196912,0.5,0.9490584499870199,0.04927987858882166,0.17372058230748633,0.2246621323204664,0.12444070371866467,77.32526194476105
