,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,baseline-accuracy_score,baseline-precision_score,baseline-recall_score,advanced-only-f1_score,advanced-only-accuracy_score,advanced-only-precision_score,advanced-only-recall_score,fourier-only-f1_score,fourier-only-accuracy_score,fourier-only-precision_score,fourier-only-recall_score,baseline-and-fourier-f1_score,baseline-and-fourier-accuracy_score,baseline-and-fourier-precision_score,baseline-and-fourier-recall_score,advanced-and-fourier-f1_score,advanced-and-fourier-accuracy_score,advanced-and-fourier-precision_score,advanced-and-fourier-recall_score,advanced-f1_score,advanced-accuracy_score,advanced-precision_score,advanced-recall_score,fourier-f1_score,fourier-accuracy_score,fourier-precision_score,fourier-recall_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier
43,False,False,True,True,False,False,False,True,0.6742678692996042,0.8188194993412384,0.84129534746229,0.562592885375494,0.8134023626507323,0.8869934123847167,0.9045861980681627,0.7389249011857707,0.24028458450335582,0.7016126482213438,0.7939021533398534,0.1415810276679842,0.6632673893620826,0.8173438735177865,0.8602925509293697,0.5396837944664032,0.8351934472439929,0.8989986824769434,0.9155905548066876,0.7677786561264822,0.8288677517998554,0.8952938076416338,0.9104294284062513,0.7607272727272727,0.8409993321903471,0.9020711462450592,0.9165241598382747,0.7769802371541502,63250,126500,0.5,0.8409993321903471,0.15459988250025114,0.1667314628907428
70,False,False,False,False,False,False,False,True,0.6742678692996042,0.8188194993412384,0.84129534746229,0.562592885375494,0.8134023626507323,0.8869934123847167,0.9045861980681627,0.7389249011857707,0.24028458450335582,0.7016126482213438,0.7939021533398534,0.1415810276679842,0.6632673893620826,0.8173438735177865,0.8602925509293697,0.5396837944664032,0.8351934472439929,0.8989986824769434,0.9155905548066876,0.7677786561264822,0.8288677517998554,0.8952938076416338,0.9104294284062513,0.7607272727272727,0.8409993321903471,0.9020711462450592,0.9165241598382747,0.7769802371541502,63250,126500,0.5,0.8409993321903471,0.15459988250025114,0.1667314628907428
67,False,False,False,False,False,True,False,True,0.6372093571172835,0.8809296442687747,0.8156494502121054,0.5228458498023715,0.7538963400008092,0.9134418972332016,0.8736846638646135,0.6630197628458498,0.02295318966824961,0.8010308300395257,0.6471238838384966,0.011699604743083004,0.6147937974750057,0.8790260869565216,0.8461727619530295,0.48290909090909084,0.7745685106427744,0.9197027667984189,0.8830924726765679,0.6898339920948616,0.77725234842081,0.9204173913043479,0.8827285974497718,0.6943241106719368,0.7864091948168314,0.9232000000000001,0.8860007765551494,0.7069723320158102,31625,126500,0.25,0.7864091948168314,0.1400429913035265,0.1491998376995478
40,False,False,True,True,False,True,False,True,0.6372093571172835,0.8809296442687747,0.8156494502121054,0.5228458498023715,0.7538963400008092,0.9134418972332016,0.8736846638646135,0.6630197628458498,0.02295318966824961,0.8010308300395257,0.6471238838384966,0.011699604743083004,0.6147937974750057,0.8790260869565216,0.8461727619530295,0.48290909090909084,0.7745685106427744,0.9197027667984189,0.8830924726765679,0.6898339920948616,0.77725234842081,0.9204173913043479,0.8827285974497718,0.6943241106719368,0.7864091948168314,0.9232000000000001,0.8860007765551494,0.7069723320158102,31625,126500,0.25,0.7864091948168314,0.1400429913035265,0.1491998376995478
58,False,False,False,True,False,True,False,True,0.6372093571172835,0.8809296442687747,0.8156494502121054,0.5228458498023715,0.7538963400008092,0.9134418972332016,0.8736846638646135,0.6630197628458498,0.02295318966824961,0.8010308300395257,0.6471238838384966,0.011699604743083004,0.6147937974750057,0.8790260869565216,0.8461727619530295,0.48290909090909084,0.7745685106427744,0.9197027667984189,0.8830924726765679,0.6898339920948616,0.77725234842081,0.9204173913043479,0.8827285974497718,0.6943241106719368,0.7864091948168314,0.9232000000000001,0.8860007765551494,0.7069723320158102,31625,126500,0.25,0.7864091948168314,0.1400429913035265,0.1491998376995478
49,False,False,True,False,False,True,False,True,0.6372093571172835,0.8809296442687747,0.8156494502121054,0.5228458498023715,0.7538963400008092,0.9134418972332016,0.8736846638646135,0.6630197628458498,0.02295318966824961,0.8010308300395257,0.6471238838384966,0.011699604743083004,0.6147937974750057,0.8790260869565216,0.8461727619530295,0.48290909090909084,0.7745685106427744,0.9197027667984189,0.8830924726765679,0.6898339920948616,0.77725234842081,0.9204173913043479,0.8827285974497718,0.6943241106719368,0.7864091948168314,0.9232000000000001,0.8860007765551494,0.7069723320158102,31625,126500,0.25,0.7864091948168314,0.1400429913035265,0.1491998376995478
34,False,True,False,False,False,False,False,True,0.8681460636591307,0.8779446640316205,0.9439286565969855,0.8036363636363637,0.934849051277778,0.9369169960474307,0.9664964869389877,0.9052173913043479,0.7645351762454127,0.8027826086956521,0.9483700856080498,0.6404584980237155,0.8602652802490122,0.8725138339920949,0.951687278457652,0.7848853754940711,0.9458249997429155,0.9472490118577076,0.9720057412295194,0.9210276679841897,0.9388826876415542,0.9406877470355731,0.9683173708466117,0.9111936758893281,0.9466626495712569,0.9480079051383399,0.9717860776447941,0.9228142292490118,63250,63250,1.0,0.9466626495712569,0.07073662398242353,0.07851658591212618
25,False,True,False,True,False,False,False,True,0.8681460636591307,0.8779446640316205,0.9439286565969855,0.8036363636363637,0.934849051277778,0.9369169960474307,0.9664964869389877,0.9052173913043479,0.7645351762454127,0.8027826086956521,0.9483700856080498,0.6404584980237155,0.8602652802490122,0.8725138339920949,0.951687278457652,0.7848853754940711,0.9458249997429155,0.9472490118577076,0.9720057412295194,0.9210276679841897,0.9388826876415542,0.9406877470355731,0.9683173708466117,0.9111936758893281,0.9466626495712569,0.9480079051383399,0.9717860776447941,0.9228142292490118,63250,63250,1.0,0.9466626495712569,0.07073662398242353,0.07851658591212618
16,False,True,True,False,False,False,False,True,0.8681460636591307,0.8779446640316205,0.9439286565969855,0.8036363636363637,0.934849051277778,0.9369169960474307,0.9664964869389877,0.9052173913043479,0.7645351762454127,0.8027826086956521,0.9483700856080498,0.6404584980237155,0.8602652802490122,0.8725138339920949,0.951687278457652,0.7848853754940711,0.9458249997429155,0.9472490118577076,0.9720057412295194,0.9210276679841897,0.9388826876415542,0.9406877470355731,0.9683173708466117,0.9111936758893281,0.9466626495712569,0.9480079051383399,0.9717860776447941,0.9228142292490118,63250,63250,1.0,0.9466626495712569,0.07073662398242353,0.07851658591212618
7,False,True,True,True,False,False,False,True,0.8681460636591307,0.8779446640316205,0.9439286565969855,0.8036363636363637,0.934849051277778,0.9369169960474307,0.9664964869389877,0.9052173913043479,0.7645351762454127,0.8027826086956521,0.9483700856080498,0.6404584980237155,0.8602652802490122,0.8725138339920949,0.951687278457652,0.7848853754940711,0.9458249997429155,0.9472490118577076,0.9720057412295194,0.9210276679841897,0.9388826876415542,0.9406877470355731,0.9683173708466117,0.9111936758893281,0.9466626495712569,0.9480079051383399,0.9717860776447941,0.9228142292490118,63250,63250,1.0,0.9466626495712569,0.07073662398242353,0.07851658591212618
