,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline,advanced-only,fourier-only,baseline-and-fourier,advanced-and-fourier,advanced,fourier,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,advanced-f1_score,fourier-f1_score,baseline-f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
6,False,True,True,False,False,False,True,False,0.6822397568296816,0.8141049402749829,0.9225374897203209,0.9316184608256225,0.9447167256960001,0.8134311720933997,0.9486956144643668,98456,98456,1.0,0.9486956144643668,0.8134311720933997,0.9486956144643668,0.6822397568296816,0.13119141526371803,0.26645585763468516,0.31776024317031837,0.13526444237096713,83.85437239606648
8,False,True,True,False,False,False,False,False,0.6364835628937517,0.7677522992099932,0.7895664263647748,0.8033014521569071,0.8603944959084446,0.7739912959544994,0.865981178201475,161706,161706,1.0,0.865981178201475,0.7739912959544994,0.865981178201475,0.6364835628937517,0.1375077330607477,0.22949761530772328,0.36351643710624826,0.09198988224697557,63.132665233689536
44,False,False,False,True,False,False,False,False,0.49825691979943043,0.6990550891929067,0.5205723416529628,0.620448683378573,0.7055634211705509,0.7080516574987719,0.7135014221885886,161706,323412,0.5,0.7135014221885886,0.7080516574987719,0.7135014221885886,0.49825691979943043,0.20979473769934143,0.21524450238915815,0.5017430802005696,0.005449764689816727,42.89934647491603
18,False,True,False,False,True,False,True,False,0.7742930414650898,0.8267917534512582,0.9286673865761502,0.9304620262554268,0.9451922152666576,0.8236763662626783,0.9495091254977015,98456,98456,1.0,0.9495091254977015,0.8236763662626783,0.9495091254977015,0.7742930414650898,0.049383324797588446,0.17521608403261169,0.22570695853491018,0.12583275923502324,77.62989903809765
45,False,False,False,False,True,False,True,False,0.7756590695317189,0.8267919641085659,0.8796836052602363,0.928281839558795,0.945255998159285,0.8237484588344164,0.9495785894633265,98456,196912,0.5,0.9495785894633265,0.8237484588344164,0.9495785894633265,0.7756590695317189,0.04808938930269746,0.1739195199316076,0.22434093046828107,0.12583013062891013,77.52464945588588
49,False,False,False,False,False,True,False,True,0.4133140835804277,0.5952992344577899,0.5752018490104094,0.5991579209011474,0.5823222940321231,0.5999426579133184,0.5866589089845949,63250,126500,0.5,0.5999426579133184,0.5999426579133184,0.5866589089845949,0.4133140835804277,0.18662857433289065,0.17334482540416724,0.5866859164195724,-0.013283748928723416,29.54644394091753
28,False,False,True,False,True,False,False,True,0.3675019110248337,0.45000435864606064,6.32351081320349e-05,0.4018756511599132,0.5306160627896465,0.46930299712573753,0.539555316345464,31625,126500,0.25,0.539555316345464,0.46930299712573753,0.539555316345464,0.3675019110248337,0.10180108610090383,0.17205340532063035,0.6324980889751664,0.07025231921972652,27.202201606554677
1,False,True,True,False,True,False,False,True,0.37585805477907963,0.45637211966507757,0.0,0.4046266245633436,0.5406473002059868,0.4764142579293661,0.5455367419015258,31625,63250,0.5,0.5455367419015258,0.4764142579293661,0.5455367419015258,0.37585805477907963,0.10055620315028646,0.16967868712244616,0.6241419452209204,0.0691224839721597,27.185913143906223
40,False,False,False,True,False,True,False,True,0.025528706289642794,0.0,0.0,0.026191335398693765,0.16440653683445694,0.00138957481860975,0.19252163501199665,31625,126500,0.25,0.19252163501199665,0.00138957481860975,0.19252163501199665,0.025528706289642794,-0.024139131471033044,0.16699292872235386,0.9744712937103572,0.1911320601933869,17.13677250424878
19,False,True,False,False,True,False,False,True,0.5340757059355576,0.6688370425712005,0.600136091999319,0.5923326063871548,0.6725364375430912,0.6730848578229987,0.6757533945645635,63250,63250,1.0,0.6757533945645635,0.6730848578229987,0.6757533945645635,0.5340757059355576,0.139009151887441,0.14167768862900587,0.46592429406444236,0.002668536741564864,30.40787751011977
